,0
109,"MEXICO CITY, Mexico (CNN)  -- Buses that carry women only are experiencing a smooth ride with passengers in Mexico's capital.A woman rides on a bus exclusively for female passengers last month in Mexico City.Fans of the new service call their daily commutes more pleasant now that bus rides steer clear of too-close-for-comfort contact with men.
""Another passenger said she feels more comfortable and safer.Last year, the government received seven complaints of sexual abuse aboard the city's buses, which provide 200 million rides each year, officials said.
Authorities said that a single complaint is enough to justify taking such measures.Juan Flores, who has driven buses in Mexico City for 15 years and now steers one for women only, said he even notices a difference."
110,"Jay Inslee declared a state of emergency in Washington's northwestern counties of Skagit, Snohomish and Whatcom, noting that the highway is a major conduit and its closure -- for a ""significant period"" -- will hurt the area's economy and its residents.It's unclear how long the interstate will be closed for the bridge repairs.National Transportation Safety Board inspectors were expected to spend 7 to 10 days investigating the crash, said NTSB chairwoman Deborah Hersman.Showing 'its age'An initial investigation shows the 1,111 foot-long bridge collapsed when a tractor-trailer hauling an oversized load hit one of the bridge's overhead tresses, known as the ""superstructure,"" Hersman said.
'Hold on'Dan Sligh was driving behind the 18-wheeler when he saw it strike one of the bridge's overhead support structures, and then saw the bridge give way.He slammed on the brakes, but the momentum of his pickup and camper trailer carried Sligh and his wife off the bridge and into the water dozens of feet below, he told CNN affiliate KOMO Thursday, hours after the incident some 60 miles north of Seattle."
111,"Give birth at home -- and don't use painkillers!Like the white, radiant and married woman on Time's cover, many mothers who embrace natural mothering are likely to be educated, middle class, married, fit and savvy.
For one thing, breastfeeding is not for all mothers.Successful breastfeeding -- especially extended breastfeeding -- takes a lot of planning, time off from paid work, money and resources.I, too, decided to breastfeed when I had my first baby.
For all of its benefits to infants, breastfeeding on demand 24/7 is challenging when our sleep cycles are regulated by artificial light and we are separated from our baby for hours on end because of our jobs.Yes, we can use breast pumps to provide babies with breast milk."
112,"(CNN) -- Bayern Munich's 10-match winning run came to a halt on Saturday with a 0-0 draw at Hoffenheim that saw goalkeeper Manuel Neuer go past 1,000 minutes without conceding a goal.The Germany international, who signed from Schalke in pre-season, kept his 11th consecutive clean sheet as Bayern maintained a three-point lead after eight league rounds.Second-placed Werder Bremen can join the 22-time Bundesliga champions on 19 points with a victory at Hanover on Sunday, but Bayern have a far superior goal difference ahead of the international break.Bayern coach Jupp Heynckes was happy with the result following the midweek Champions League win at home to Manchester City."
113,"(CNN) -- Bahrain on Tuesday warned against anti-government activity one day ahead of its plans to lift emergency laws that had allowed for a crackdown on opposition leaders, journalists and other activists.The country's Ministry of Justice warned against ""any type of activities that could affect the security or harm the national peace and safety,"" Bahrain's official news agency reported.The lifting of the emergency laws, imposed in mid-March, is thought to be an effort to signal an end to months of civil unrest stemming from the Arab Spring, a wave of anti-government demonstrations that started in Tunisia and have since roiled several countries in the Middle East and North Africa, including Egypt, Syria, Yemen and Bahrain.On Tuesday, Bahrain King Hamad bin Isa Al Khalifa appealed for dialogue, saying that talks with opposition groups are scheduled to begin in July.The U.S. pulled its human rights officer from the U.S. embassy in Bahrain after he became the target of a harassment campaign that senior U.S. officials say appears to have been fanned by some hard-line members of the government.Ludovic Hood, who left the country last Thursday, was for months the subject of threats and anti-Semitic slurs on a pro-government website and officially sanctioned newspapers, the officials said.Hood was scheduled to leave the country this summer, as his tour of duty was coming to a close."
114,"""There was loud laughter in the auditorium -- knowing laughter, because that's what the Emmys have resembled in recent years: an awards show on network TV celebrating cable TV.During this year's awards telecast, though, viewers could almost see the tug-of-war -- as the networks pulled off some surprising wins and Netflix found itself shut out of the major categories.In fact, Monday's telecast felt at times like an elaborate commercial for network TV, interrupted ever so briefly by an actual commercial that Netflix paid to air during the first of the three hours.
One of CBS's five was awarded to Julianna Margulies, star of ""The Good Wife,"" in the lead actress in a drama category.On stage, she thanked ""our writers who never cease to amaze me with 22 episodes a year"" -- a jab at cable series that tend to have much shorter seasons.Another network series, ABC's ""Modern Family,"" came away with three wins, including the outstanding comedy award for the fifth year in a row."
115,"It said in a written statement that ""this is yet another flagrant deviation"" from the U.N. Security Council resolution 1973.That resolution authorized all means necessary, short of occupying forces, to enforce a no-fly zone and protect Libyan civilians from attacks by forces loyal to Gadhafi.A barrage of at least 18 rockets struck Tripoli Tuesday, killing 19 people and wounding another 150 in the heaviest onslaught since NATO's aerial strikes began, a government official told CNN.NATO said it had struck a government vehicle storage facility adjacent to Gadhafi's compound.The Russian ministry said NATO has justified its attacks by citing the need to protect civilians but said that it was ""impossible to deny the obvious fact that airstrikes are not stopping military confrontation between the warring Libyan sides, and are only causing additional suffering of peaceful Libyans."
116,"""""Rudo y Cursi"" reunites Luna and Bernal, who became pin-ups for the resurgence in Mexican filmmaking with ""Y tu Mama Tambien"" in 2001.Today, Luna and Bernal's on-screen chemistry has once again grabbed the public's attention, this time in Mexico, where their latest film ""Rudo y Cursi"" made box-office history.It became the fourth highest-grossing film in the country's history when it was released at the end of 2008.
""The idea behind Cha Cha Cha films was conceived by Cuaron senior, del Toro and Innaritu when the trio -- a kind of all-stars of Mexican cinema -- found themselves with a surprise 16 nominations and 4 awards at the 2007 Oscars.The idea came out of a desire to pool their their rising bargaining power and maximize their clout in Hollywood -- and, of course, out of friendship.The company was ""born out of friendship and sibling sympathies,"" del Toro told CNN."
117,"""We believe many bodies are still trapped inside the sunken ferry, and the rescue operation is still on,"" Shahabuddin Khan, police chief of Munshiganj, told CNN.Khan said divers from the Bangladesh navy and the Fire Service and Civil Defence took part in the operation in addition to police and the Bangladesh Inland Water Transport Authority.The water authority's chairman, Khandker Shamsuddoha Khandaker, told reporters the ferry had been traced 70 feet (more than 20 meters) under water.About 30 people were initially rescued after the ferry collided with the cargo boat on the river in Munshiganj district, about 25 miles (40 kilometers) south of Dhaka."
118,"""Chen released more than 10 unverified reports -- from September 29, 2012, until August 8, 2013 -- that centered on ""financial problems"" experienced by the engineering company Zoomlion Heavy Industry Science & Technology and resulted in losses for the company, Xinhua reported, citing police.Chen, who is based in the southern city of Guangzhou, apologized to the company, to its investors and to his family, police told Xinhua.He was taken into custody October 18 in Guangzhou by police from Changsha in Hunan Province, where Zoomlion is based, months after the newspaper ran stories under his byline that said Zoomlion had falsified its sales numbers.The state-run company, which did not respond to a call for comment, makes construction equipment.The 27-year-old reporter has worked for New Express since he graduated in 2009.According to police, ""other people"" paid Chen for the stories, Xinhua said."
119,"R. K. Gupta, assisted by a team of fellow medical professionals, operated on 83 women in a span of six hours Saturday in Chhattisgarh state.
His arrest is one of several measures authorities have taken in response to the deaths and the resulting public outcry.By Thursday, authorities had halted all sterilization procedures in the Bilaspur district of Chhattisgarh, according to Sonmoni Borha, the district's commissioner.
Twelve of those died, while scores of others are hospitalized.Another woman who was operated on Monday in another district in Chhattisgarh also died.Autopsy results expected this weekClarity on whether the women died from the surgeries or the drugs they took afterward could come this week, when autopsy results come back, according to R.K. Vange, chief medical health officer for the area.Gupta has said his team followed all necessary safety procedures."
120,"London (CNN) -- A violin played by the Titanic's bandleader as the ship sank sold at auction Saturday for more than $1.7 million, a UK-based auction house said.The price -- 1.1 million British pounds, when adding the buyer's premium and tax -- is by far the highest ever fetched for memorabilia tied to the sunken passenger ship, according to veteran collector Craig Sopin.
""According to survivors, Wallace Hartley's band played to calm passengers even as the ship sank beneath them.The scene was depicted in James Cameron's blockbuster movie ""Titanic,"" which depicted Hartley and his band playing ""Nearer, My God, to Thee"" as the ship took on water.Hartley's body was reportedly pulled from the water days after the April 1912 sinking with his violin case still strapped to his back.In 2006, the damaged violin was found in the attic of a home in Britain."
121,"WASHINGTON (CNN)  -- President Barack Obama on Tuesday admitted he made a mistake in handling the nomination of Tom Daschle as his health and human services secretary, saying Daschle's tax problems sent a message that the politically powerful are treated differently from average people.President Barack Obama is interviewed by CNN's Anderson Cooper on Tuesday.Daschle, the former Democratic leader in the U.S. Senate, withdrew earlier Tuesday as news that he failed to pay some taxes in the past continued to stir opposition on Capitol Hill.
Read how CNN analysts assess the situation »Obama also said he's going to crack down on businesses using taxpayer money to excessively pay executives."
122,"Google's new driverless-car prototype is downright hugable.The company unveiled its latest self-driving vehicle on Monday, and it looks like a cartoon koala crossed with a smart car wearing a fez.Unlike the mock-up car Google first shared in May, this version is fully functional.
The goal is to eventually remove any interior controls so that passengers can take a nap or knit while the car does all the work.Google's self-driving car team will continue to test the vehicle on a private track in California, where it works its way around traffic lights and mock construction zones.
), improve basic driving functions, and work with governments on legislation to allow driverless cars on all roads.Google is just one of many companies developing driverless car technology."
123,"Ayaan Hirsi Ali is a Somalia-born writer, activist, and former member of the Dutch Parliament.
She is an outspoken advocate for women's rights in Islamic society and a strong critic of Muslim extremism.Outspoken critic of Islam, Ayaan Hirsi AliHirsi Ali fled to the Netherlands in 1992 to escape an arranged marriage in Africa, and served as a member of the Dutch parliament from 2003 to 2006.In parliament, she promoted the integration of non-Western immigrants into Dutch society and defending the rights of women in Dutch Muslim society.In 2004, she worked with the late director Theo Van Gogh on the film ""Submission,"" which highlighted the oppression of women in conservative Islamic societies."
124,"(CNN) -- Attendees at 2014's San Diego Comic-Con have gotten up close and personal with Ben Affleck's Batman.On Thursday, DC Comics gave the first close-up look at Affleck's caped hero, offering a profile photo of the newest Bruce Wayne as part of a montage honoring Batman's 75th anniversary.First look at Ben Affleck in 'Batman vs. Superman'In addition to the close-up photo, Affleck's cape and cowl from the upcoming ""Batman v Superman: Dawn of Justice"" has been seen on the SDCC floor.Henry Cavill suits up for 'Batman v Superman'Affleck himself hasn't been spotted, but he's probably busy with director Zack Snyder's production schedule."
125,"Egyptian authorities have served Al Jazeera with a charge sheet that identifies eight of its staff on a list of 20 people -- all believed to be journalists -- for allegedly conspiring with a terrorist group, the network said Wednesday.The 20 are wanted by Egyptian authorities on charges of conspiring with a terror group and ""broadcasting false information and rumors to convince the international community that Egypt was undergoing a civil war,"" according to Egypt's state-run media.The eight Al Jazeera journalists include three -- Australian Peter Greste, and Eygptians Baher Mohamed and Mohamed Fahmy -- who have been held by authorities since December 29, the network said in a written statement.The charges against the journalists come amid a military crackdown on the Muslim Brotherhood following the ouster of the country's first democratically-elected president, Mohamed Morsy.Egyptian authorities say the three jailed Al Jazeera journalists held illegal meetings with the Muslim Brotherhood, which was declared a terrorist group in December.Western leaders, human rights groups and journalists have repeatedly called on Egypt to release the men, saying their arrests were a violation of human rights and media freedoms.In the statement, the Qatar-based Al Jazeera said it ""has finally been officially served, allowing the network to comment on the case for the first time."
126,"MIAMI, Florida (CNN) -- Father Alberto Cutie, an internationally known Catholic priest who admitted having a romantic affair and breaking his vow of celibacy, was married this week in Miami, Florida.Father Alberto Cutie was married in Coral Gables, Florida, on Tuesday, according to court documents.Cutie, 40, announced last month that he was leaving the Catholic Church and joining the Episcopal Church.A judge performed the marriage ceremony Tuesday in Coral Gables, Florida, for Cutie and Ruhama B. Canellis, 35, according to Miami-Dade County court documents.Cutie, whose name is pronounced koo-tee-AY, is a native of Puerto Rico, and Canellis was born in Guatemala.He was received into the Episcopal Church on May 28 at Trinity Cathedral in Miami."
127,"(CNN) -- Two men found floating in a giant cooler off the Australian coast say they want to stay in Australia and don't want to go home, immigration officials said Friday.The Australian Customs Service found the two men in the Torres Strait on January 17.The men will be transferred to Christmas Island in the Indian Ocean, where Australia has an immigration detention facility, a spokesman for the Department of Immigration and Citizenship told CNN.
They were then housed in detention while officials interviewed and processed them, the spokesman said.Australian media reports said the men spent 25 days afloat in the cooler, surviving only by drinking rainwater and eating regurgitated fish dropped by birds.Lee Hollingsworth of the Royal Society for the Protection of Birds told CNN it was not uncommon for Asian fishermen to use birds such as cormorants to dive down and retrieve fish that are then regurgitated whole."
128,"""Ministers concur with the (European) Commission and the European Central Bank that providing assistance to Ireland is warranted to safeguard financial ability in the EU and in the euro area,"" the EU statement said.The central bank's governing council likewise embraced the request, saying in a statement that a loan deal ""will contribute to ensuring the stability of the Irish banking system and permit it to perform its role in the functioning of the economy.""
""The money is required to stave off the collapse of Irish banks, which have seen a major outflow of funds over the last year, the Irish government said Sunday.International loans would act as a contingency fund, Lenihan said earlier Sunday, suggesting the mere fact that the funds were available might make it possible for Irish banks to borrow money on the open market again.The Irish government already has pumped billions of euros into Irish banks to keep them afloat, effectively nationalizing most of them."
129,"(CNN) -- A 23-year-old man accused of killing four people during a New York stabbing and carjacking spree was indicted Friday, prosecutors said.Maksim Gelman has been charged with murder in the second degree, attempted murder in the second degree, robbery and assault, according to a Kings County District Attorney statement.Authorities alleged that Gelman fatally stabbed three people, hit and killed a man with a car, slashed at least five other people and carjacked two vehicles before he was wrestled to the ground early Saturday after trying to break into the cab of a subway train.If convicted, he could face life behind bars.Gelman, who is unemployed and known to authorities mostly as a graffiti artist, was arrested about 9 a.m. Saturday, about 28 hours after he is alleged to have begun the spree spanning three New York boroughs, Police Commissioner Ray Kelly said Saturday."
130,"Every citizen, whether young or old, will need medical care at some point in their lives.The need to upgrade and build new facilities to meet growing demand is hence very real -- a fact not lost on the country's leaders.The Turkish government initiated a health transformation program in 2003 financed by both private and public funds.There are currently 36 medical facilities under development with the giant Bilkent Integrated Healthcare Campus in Ankara earmarked as the flagship project -- a site for science and knowledge.On completion, it will be one of the largest hospital complexes in the world, housing 1,300 doctors and double that number of nurses.Bilkent will also feature a hotel resort and conference area."
131,"For the Saturday night performance, the Crüe turned three songs, starting with ""On With the Show"" and wrapping with ""Don't Go Away Mad (Just Go Away),"" into acoustic numbers.
""Doing the acoustic thing for us is something we've been wanting to do forever,"" Lee said.Another new aspect of the performance was the inclusion of a narrator, Genocide, who worked his way through the crowd and stage, introducing the band members and providing occasional levity between songs.
""Being able to work the room with Genocide, our MC, we've never done anything like that in an arena, having people pop up here and there,"" Lee said.The quartet is using the stay at the Joint to live out some performance fantasies."
132,"The Democrat says to the Republican....D: Just watch the president tonight and you'll see how to get this economy back on track.
We have to make sure Americans are secure in their health care and jobs, their incomes and energy.To serve the greater good, we have to organize America's economy so it achieves the best possible ends for all Americans.
Our nation's development is best controlled by monopolies, not some atomistic economy where Americans are free to make almost any choice and organize bottom-up, according to their own whims.
To borrow from Henry Ford, consumers can pick any color car they want, as long as it is green.R: Who are you going to get to run these monopolies?"
133,"""'The skin melted off'Youssif, now 9, no longer remembers the details of that horrific day in Baghdad.CNN's Arwa Damon's original reportIt was January 15, 2007, the same day the ""surge"" of American troops began in the Iraqi capital to cut down on sectarian violence that plagued Baghdad.Youssif played outside.
Doctors told the family there was little they could do to help the child.His dad ended up on CNN's doorstep in Baghdad, desperate to tell his son's story, anything to help get his little boy's smile back.When CNN first aired Youssif's story, viewers around the world responded to the family's plea, donating hundreds of thousands of dollars to the Children's Burn Foundation, a Los Angeles-based foundation that took on his case.His mental recovery has by far outpaced his physical one."
134,"(CNN)  -- South African star Erne Els is in no mood to rest on his laurels after his ""big surprise"" at being inducted into World Golf's Hall of Fame.
""The Big Easy"" told CNN he was ""very honored"" to be picked at the relatively tender age of 40.He will be officially inducted next May in a ceremony at the Players Championship in Florida.But despite landing the ultimate lifetime achievement award, Els is still keen to add to his 62 global victories and wants to round off his season by coming out on top at this week's PGA Tour Championship at East Lake.Els earned his place in the top 30 qualifiers after successive victories at the WGC-Doral and Arnold Palmer Invitational tournaments, both held near to his Florida home."
135,"One of Stone's more misleading allegations was that scientists at a U.S. research facility, the Argonne National Laboratory, were on the verge of developing a breakthrough technology that could solve nuclear power's numerous problems when the Clinton administration and its allies in Congress shut the program in 1994 for purely political reasons.Like the story of Pandora itself, the tale of the integral fast reactor (IFR) -- or at least the version presented in the movie -- is more myth than reality.
Most operating reactors use a type of fuel called ""low-enriched"" uranium, which cannot be used directly to make a nuclear weapon and poses a low security risk.
""See the Department of Energy review here (PDF)Other Department of Energy studies showed that pyroprocessing, by generating large quantities of low-level nuclear waste and contaminated uranium, greatly increases the volume of nuclear waste requiring disposal, contradicting ""Pandora's Promise's"" claim it would reduce the amount of waste.See Union of Concerned Scientists fact sheet (PDF)And what about Till's claim that the IFR can't melt down?"
136,"(CNN) -- Vincenzo Montella has been appointed as the new coach of Italian club AS Roma after Claudio Ranieri handed in his resignation.Roma acted quickly after the departure of Ranieri, who quit after his side were beaten 4-3 by Genoa on Sunday, having led 3-0 six minutes into the second half.Montella, 36, scored 118 goals in 267 Serie A matches and netted 84 for Roma during a ten-year stint with the club.
They lost at home to Ukrainian side Shahktar Donetsk in the Champions League on Wednesday and head for the second leg trailing 3-2.After much speculation about Ranieri's future, AFP reported that the 59-year-old had told Italian news agency Ansa: ""I've always thought about the good of Roma and after a game such as today's I believe it's right to give a signal.
Roma wishes to thank Claudio Ranieri for the professionalism shown and the work done."
137,"(CNN) -- Michigan Assistant Attorney General Andrew Shirvell -- who for nearly six months has blogged about an openly gay college student -- has taken a voluntary leave of absence, the state's attorney general's office confirmed to CNN Friday.The office does not know the length of Shirvell's leave, but says that it will hold a disciplinary hearing upon his return.Earlier this week, Attorney General Mike Cox defended his assistant's constitutional right to wage the internet campaign against Chris Armstrong, even though he said he considers Shirvell a ""bully.
""Among other things, Shirvell has published blog posts that accuse Armstrong of going back on a campaign promise he made to minority students; engaging in ""flagrant sexual promiscuity"" with another male member of the student government; sexually seducing and influencing ""a previously conservative [male] student"" so much so that the student, according to Shirvell, ""morphed into a proponent of the radical homosexual agenda;"" hosting a gay orgy in his dorm room in October 2009; and trying to recruit incoming first-year students ""to join the homosexual 'lifestyle.'"
138,"WASHINGTON (CNN) -- The Senate Judiciary Committee on Tuesday approved the nomination of federal Judge Sonia Sotomayor to become the nation's first Hispanic Supreme Court justice, setting up a final confirmation vote by the Senate.With Republican senators' support, Sonia Sotomayor's confirmation by the full Senate is a virtual certainty.The 13-6 committee vote was mostly on partisan lines, with one Republican joining the panel's Democrats in sending the nomination to the full Senate.At least five Republican senators have announced their intention to support Sotomayor, making confirmation by the Democratic-controlled Senate a virtual certainty.Sotomayor, 55, is President Obama's first nominee to the nation's highest court."
139,"(CNN)  -- Maria Sharapova landed the Toray Pan Pacific Open title in Tokyo on Saturday as her final opponent Jelena Jankovic was forced to retire injured in the first set.Sharapova was winning her first title of 2009 after returning from injury.Unseeded Russian Sharapova was leading 5-2 when Jankovic pulled out with a right wrist injury.It is Sharapova's first title since returning to the WTA after being sidelined for 10 months after shoulder surgery.Serbian Jankovic claimed the opening two games, but Sharapova stormed back to claim the next five before the seventh seed signaled she could not continue.
I just wanted to keep fighting out there and unfortunately Jelena had to stop,"" the 22-year-old added.Sharapova has taken advantage of a series of shocks in the $2 million tournament which saw world number one Dinara Safina and Venus Williams exit in the first round.Venus Williams was back in action in her opening round match at the China Open in Beijing on Saturday, but was made to fight hard by Russia's Vera Dushevina before coming through 6-2 7-6.The seven-time grand slam winner trailed 4-0 in the second set before claiming the next five games.Dushevina hit back to force a tiebreak which Williams claimed comfortably to reach the second round.The tournament is being held in conjunction with an ATP men's event with Rafael Nadal, Novak Djokovic and Andy Roddick in action when it gets underway on Monday.Sunday will see top seed Safina and second-ranked Serena Williams in action in the women's tournament with Sharapova granted a first round bye after her Tokyo heroics."
140,"The idea that ""Survivor"" would last a decade was not something that even host Jeff Probst would have put his money on.
""In fact, I was so naive to how television really worked that I just assumed because the show was really popular in the first season that it would get a second season for sure ... then I thought this will probably go on for three seasons which is pretty good.
""No one knows where it's going -- not even the producers,"" said Kavka.And then there's Probst himself, the everyman host who was probably best known before the show as the emcee of ""Rock and Roll Jeopardy"" on VH1."
141,"he said.The crowd roared at the quip, which was seemingly directed at President Barack Obama, who has faced questions for years from some conservative Republican quarters about his birthplace.Only U.S.-born citizens can be president and Obama released his full birth certificate last year from Hawaii to quiet critics.Romney has said he believes Obama was born in the United States and that the issue was put to rest last year.
""Romney has had a hard time appealing to the right wing of the Republican base, and the comment could, to some, have been a way getting a bump in support -- including financial support -- heading into the convention, said Mark Anthony Neal, an African-American studies professor at Duke University and the author of several books, including ""New Black Man: Rethinking Black Masculinity."
142,"BEIJING, China (CNN) -- Two Chinese destroyers and a supply ship set sail Friday for the Gulf of Aden on a mission to protect Chinese merchant ships from an increasing number of pirate attacks occurring in the waters off Somalia, state media reported.China has reportedly been working to rapidly modernize its fleet.The Navy fleet left from a port in Sanya city in the southernmost island province of Hainan at 1:50 p.m., according to Xinhua news agency.It marks the first time Chinese naval vessels have left Chinese waters in centuries.
""The Security Council resolution, which passed unanimously, expands upon existing counter-piracy tools, including a stipulation that would allow for national and regional military forces to chase pirates onto land -- specifically into Somalia, where many of the pirates have their bases.Among the victims of pirate attacks have been cargo ships, oil tankers and luxury yachts.At least one major company pulled its ships from the Gulf of Aden region this year, meaning cargo bound for Europe had to round the African continent rather than use the Suez Canal."
143,"(CNN) -- Police in three European countries were looking Sunday for 6-year-old twin girls abducted by their father, who was found dead last week.Interpol issued an international Yellow Notice missing persons alert Saturday for Alessia and Livia Schepp.
He took the girls following personal problems at home, according to the state police in Vaud, which covers the area of St. Sulpice.State police said Schepp drove through Marseilles, France, on Tuesday.
When they were taken, Livia was wearing a green T-shirt, jeans, a violet ski jacket, and Adidas sneakers.
Alessia was wearing a T-shirt with red and white stripes, jeans, a brown jacket, and black shoes.CNN's Melissa Gray contributed to this report"
144,"(CNN) -- Taiwan has rallied behind a taekwondo athlete who was controversially disqualified at the Asian Games in China, setting up Internet support groups and even burning South Korean flags.The island's ruling administration was also criticized for its response to the incident, which saw Yang Shu-chun disqualified while leading during a match in the women's 49-kilogram category in Guangzhou on Tuesday.The Asian Taekwondo Union released a statement accusing gold-medal hopeful Yang of a ""shocking act of deception,"" claiming that she had illegally added two extra sensors to the heel of her socks to help score more points.The ATU rejected an appeal from the Taiwan team and subsequently banned Yang and the two coaches involved pending a hearing by the martial art's world ruling body.Local politicians from the People First Party burned South Korean flags outside Taiwan's Sports Affairs Council in the capital on Thursday, the Taipei Times reported, in protest against World Taekwondo Federation secretary-general Yang Jin-suk.They also smashed imported products on the floor before police intervened, the newspaper said.Politicians from both the Democratic Progressive Party and the Chinese Nationalist Party (KMT) backed the 25-year-old in separate press conferences, the Taipei Times reported."
145,"""Definitely it's an advantage for the home team playing in front of their people.
To be able to have this support is really relevant,"" Djokovic told the official Davis Cup website..Earlier, the in-form Monfils silenced a partisan home crowd by thrashing Janko Tipsarevic in the opening singles rubber on Friday.Serbian tennis completes transformationSpeaking to France 3 TV, Monfils said: ""I got into the match straight away and that helped settle me.
""I'm really happy with the result.
Janko started off with two double faults and straight away I saw that he was tense.
That helped me to relax a little."
146,"Hail Modi""Dozens surround one man, chanting pro-Modi slogans.But the man at the center of attention is Abhinandan Pathak, also known as Nandan Modi -- the Indian PM, Narendra Modi's lookalike.
I literally worship him every day and I believe Mr. Modi is an avatar of God,"" says Pathak.As Pathak makes his way into an election rally where Narendra Modi is expected to arrive, more crowds besiege him.
Don't get fooled,"" people whisper to each other.Pathak traveled the 170km to New Delhi on his bicycle from Saharanpur, a remote town in Northern India, to campaign for Modi's Bharatiya Janata Party (BJP) in the Delhi Assembly elections.A school teacher by profession, Pathak left his career one year ago to fully devote himself to spread Modi's message of development and Hinduism around India."
147,"Islamabad, Pakistan (CNN) -- Malala Yousefzai now has a day named after her and more than two million people from around the world pledging to carry on her fight for girls' education.The United Nations has declared November 10 as Malala day to honor the 15 year-old Pakistani activist who was shot in the head one month ago by the Taliban, which wanted to silence her campaign for education.Former British Prime Minister Gordon Brown marked the occasion here on Friday by delivering a petition to the Pakistani government with one million signatures calling on Islamabad to enroll every Pakistani boy and girl in primary school.Brown: Time to turn slogan into realityPakistani civil society organizations matched the U.N.'s signature drive with a petition of their own, signed by 1.2 million Pakistanis supporting Malala's cause."
148,"But nobody at the White House is pushing back on it either, the source added.
""It's not like we're about to dump her,"" the source added.However, the source said that when the President wants to talk about midterms, he usually reaches out to senators associated with the Democratic Senatorial Campaign Committee (Chairman Michael Bennet, Harry Reid and former Chairman Chuck Schumer) and that committee, not Schultz.In part, that's a function of the job.
Under Obama, the position of DNC chairman is tough, because that person takes something of a backseat, the source said, to the political operatives who work at the White House.Schultz's term does not expire until January 2017."
149,"(Mashable) -- FaceMash.com, the Facebook prototype Mark Zuckerberg built in his Harvard dorm room one October night in 2003, is now up for auction on Flippa -- or at least the URL is.The domain once housed a Harvard version of Hot or Not, which placed photos of various university women next to one another and asked visitors to select which one was more attractive.FaceMash reportedly attracted 450 visitors and generated 22,000 page views in its first evening; it was pulled down by Harvard several days later.Now, the site attracts approximately 600 visitors per month, the auctioneer claims, though since the release of the movie ""The Social Network,"" which mentions FaceMash, the site has received more than 1,000 hits per day.The domain is currently listed for $8,000 and, though it appears to be legit, has attracted few bids.
That's not terribly surprising, given the kind of hassle any business built on the site is likely to attract from Facebook's lawyers.Tell us: What would you host at FaceMash.com?© 2013 MASHABLE.com."
150,"(CNN) -- One in 50 children is homeless in the United States every year, according to a report released Tuesday.The National Center on Family Homelessness estimates more than 1.5 million children are without a home.The report, by the National Center on Family Homelessness, analyzed data from 2005-06 and found that more than 1.5 million children were without a home.
""These numbers will grow as home foreclosures continue to rise,"" Ellen Bassuk, president of the center, said in a statement.The study ranked states on their performance in four areas: the extent of child homelessness, the risk for it, child well-being and the state's policy and planning efforts.The states that fared the poorest were Texas, Georgia, Arkansas, New Mexico and Louisiana.Connecticut, New Hampshire, Hawaii, Rhode Island and North Dakota performed the best.Homeless children have poor health, emotional problems and low graduation rates, the study found."
151,"""Just after I switched from my binoculars to my camera the bird flew across us and slightly in our direction; suddenly it was obvious it had a small mammal on its back and this was a struggle for life,"" Le-May said.Eventually, Le-May told ITV, the weasel -- known as a ""least weasel"" in some countries -- lost its grip and the bird flew away.Marina Pacheco, chief executive of Britain's Mammal Society told CNN the image looked genuine and that it was possible an omnivorous weasel would take on a woodpecker.
""I think it was a bit of a long shot -- it looks like it tried to grab the neck of the woodpecker to break it,"" Pacheco said."
152,"They may not look like much but once you know their dark secret, you can't help but see them in a new, sinister way.The U.S. Forest Service website has more information about the fungus and its forest home.Necropolis by the Bay, Colma, CaliforniaIn this community of 1,800 souls, the dead outnumber the living 900 to 1.
Perhaps this attraction is more morbid than gross, but let's not split hairs: It's a pleasant Halloween-season outing in a beautiful part of the nation.Indiana Medical History Museum, Indianapolis, IndianaHow many medical museums are on the site of an old insane asylum?
This consists of some 80 samples, mostly sliced in cross section and preserved in glass slides, which display various neurological injuries.The Indiana Medical History Museum is open to the public Thursday through Saturday.Leila's Hair Museum, Independence, MissouriSome things seem universally gross, say, the smell of rotting flesh."
153,"Los Angeles (CNN) -- Famed actress Elizabeth Taylor has shown ""steady improvement"" since she was taken to a Los Angeles hospital last week for treatment of a heart problem, her representative said.Taylor, 78, has been ""comfortable over the past few days,"" according to a statement released Tuesday afternoon.She checked into Cedars-Sinai Medical Center a week ago for ""symptoms caused by congestive heart failure,"" which an ""ongoing condition,"" representative Jamie Caldwell said last week.
""Her medical team is gratified by her progress to date, and it is hoped and expected that this will continue over the next few days,"" it said.The London-born movie star has won two Academy Awards for best actress: for ""Butterfield 8"" in 1961 and ""Who's Afraid of Virginia Woolf"" in 1967.When doctors repaired a leaky heart valve in October 2009, Taylor posted a Twitter message saying it ""was like having a brand new ticker."
